因子名称,重要性得分(RF Gain),大类,业务意义
CNTN5,2.084969,price_volume_factors,【核心含义】 下跌天数占比 (Count Negative)：过去5天中收益率为负的天数占比。反映空头占据优势的交易日频率。  【运行原理】 跌势识别：逐日对比过去N天的收盘价与前一交易日收盘价，仅对“当日收盘价 < 前日收盘价”的交易日进行布尔标记（True为1，False为0）； 概率统计：在滑动窗口内对布尔序列求均值，计算出该区间内阴线（下跌日）出现的相对比例； 情绪刻画：数值越接近1，说明该区间内股票几乎每天都在下跌，反映出极强的空头压制与市场悲观情绪。
CNTP10,2.046028,price_volume_factors,【核心含义】 上涨天数占比 (Count Positive)：过去10天中收益率为正的天数占比。反映多头占据优势的交易日频率。  【运行原理】 涨势识别：逐日对比过去N天收盘价与前一交易日收盘价，提取出“当日收盘价 > 前日收盘价”的阳线（上涨日）并标记为1，其余为0； 概率统计：对该布尔序列在时间窗口内求均值，得出上涨交易日所占的百分比； 情绪刻画：数值越接近1，表明区间内股票连涨天数越多，市场处于强势的多头逼空状态或极度乐观情绪中。
IMIN10,1.685788,price_volume_factors,【核心含义】 最低价距离天数 (Index of Min)：过去10天中最低价发生在那一天。反映低点的时效性。  【运行原理】 极值寻址：在N天滑动窗口内，扫描每日最低价，定位到最小值出现的那一天； 索引提取：获取该最小值距离窗口起始位置的时间索引(IdxMin)； 时间归一化：将索引值除以窗口总长度N，转换为0到1之间的相对时间比例； 见底时间评估：数值越大说明近期刚刚创出新低，抛压仍在释放；数值越小说明低点发生在窗口初期，目前可能已企稳反弹。
CNTP5,1.667239,price_volume_factors,【核心含义】 上涨天数占比 (Count Positive)：过去5天中收益率为正的天数占比。反映多头占据优势的交易日频率。  【运行原理】 涨势识别：逐日对比过去N天收盘价与前一交易日收盘价，提取出“当日收盘价 > 前日收盘价”的阳线（上涨日）并标记为1，其余为0； 概率统计：对该布尔序列在时间窗口内求均值，得出上涨交易日所占的百分比； 情绪刻画：数值越接近1，表明区间内股票连涨天数越多，市场处于强势的多头逼空状态或极度乐观情绪中。
KLEN,1.510105,price_volume_factors,【核心含义】 K线全长比例：衡量日内最高价与最低价之间的整体波动幅度，反映日内整体的交易活跃度与分歧。  【运行原理】 日内振幅提取：获取当日的最高价(high)和最低价(low)，两者的差值即为全天价格的最大波动区间； 基准标定：获取当日的开盘价(open)作为日内波动的基准参考； 无量纲化：将全天波动区间除以开盘价； 波动率刻画：结果反映了单日内多空双方交战的激烈程度，数值越大说明日内分歧和洗盘越剧烈。
dv_ttm,1.325966,style_factors,股息率（TTM）。反映股票的现金回报能力。
pe_ttm,1.322966,style_factors,市盈率（TTM）。反映股价相对盈利的溢价，值越低估值越低。
IMIN30,1.299608,price_volume_factors,【核心含义】 最低价距离天数 (Index of Min)：过去30天中最低价发生在那一天。反映低点的时效性。  【运行原理】 极值寻址：在N天滑动窗口内，扫描每日最低价，定位到最小值出现的那一天； 索引提取：获取该最小值距离窗口起始位置的时间索引(IdxMin)； 时间归一化：将索引值除以窗口总长度N，转换为0到1之间的相对时间比例； 见底时间评估：数值越大说明近期刚刚创出新低，抛压仍在释放；数值越小说明低点发生在窗口初期，目前可能已企稳反弹。
RANK10,1.097201,price_volume_factors,【核心含义】 价格相对排位 (Rank)：当前价格在过去10天价格中的百分比排位。反映当前处于近期波动区间的什么水平。  【运行原理】 数据收集：在N天的滑动窗口内，收集每日的收盘价； 截面排序：将当前的最新收盘价与窗口内历史所有收盘价进行大小比对； 分位数换算：计算当前价格在历史序列中所处的百分比排名(Rank)； 相对强弱定性：结果在0到1之间，1表示当前创出新高，0表示创出新低，用于判断当前价格在近期波动区间内的相对身位。
VMA60,1.07475,price_volume_factors,【核心含义】 成交量移动平均 (Volume MA)：过去60天的成交量移动平均相对当前成交量的比值。反映成交量的近期均值回归状态。  【运行原理】 成交量聚合：在设定的N天时间窗口内，收集每一天的成交量(volume)； 均量计算：对窗口内的所有成交量求简单算术平均数(Mean)，得到该周期的平均换手水平； 放缩量换算：将计算出的移动平均成交量除以当前的最新成交量（分母加极小值防报错）； 量能异动评估：结果若远小于1，说明当日剧烈放量；若大于1，说明当日缩量。用于判断当前交投活跃度相较于历史均值的异动情况。
IMIN20,0.995028,price_volume_factors,【核心含义】 最低价距离天数 (Index of Min)：过去20天中最低价发生在那一天。反映低点的时效性。  【运行原理】 极值寻址：在N天滑动窗口内，扫描每日最低价，定位到最小值出现的那一天； 索引提取：获取该最小值距离窗口起始位置的时间索引(IdxMin)； 时间归一化：将索引值除以窗口总长度N，转换为0到1之间的相对时间比例； 见底时间评估：数值越大说明近期刚刚创出新低，抛压仍在释放；数值越小说明低点发生在窗口初期，目前可能已企稳反弹。
KLOW,0.966708,price_volume_factors,【核心含义】 K线下影线比例：衡量实体下边缘到日内最低价的距离，反映日内空头向下试探后被多头托起的程度。  【运行原理】 形态截取：获取当日的收盘价(close)和最低价(low)； 下影线（或实体下部）计算：计算两者之间的绝对差值，代表价格从日内低点被拉回（或砸下）的空间； 比例换算：将该差值除以当日开盘价(open)进行标准化； 支撑测试：该指标用于刻画下方买盘的承接力度，数值越大说明日内探底回升的动作越明显。
IMAX20,0.936686,price_volume_factors,【核心含义】 最高价距离天数 (Index of Max)：过去20天中最高价发生在那一天（距离当前的倒数天数）。反映高点的时效性。  【运行原理】 极值寻址：在设定的N天时间窗口内，扫描每日的最高价，定位到最大值出现的那一天； 索引提取：获取该最大值所在天数距离当前窗口起始点的索引位置(IdxMax)； 时间归一化：将该位置索引除以窗口总长度N； 动能衰减评估：结果越接近1，说明创出新高的时间越近（近期动能强）；越接近0，说明高点在窗口早期，当前处于长期回调中。
CNTD5,0.923885,price_volume_factors,【核心含义】 涨跌天数差值 (Count Difference)：过去5天中上涨天数与下跌天数占比的差值。直接反映多空天数力量对比。  【运行原理】 涨跌识别：逐日对比过去N天的收盘价与前一交易日收盘价，分别标记为上涨日和下跌日； 频率统计：在设定窗口内，分别计算上涨日出现的平均概率（多头占比）和下跌日出现的平均概率（空头占比）； 净胜计算：将上涨概率减去下跌概率，得出多空双方在此区间的“净胜频次占比”； 特征输出：正值说明多头占优，负值说明空头占优，每日随着窗口前移而动态更新。
BETA60,0.806483,price_volume_factors,【核心含义】 价格趋势斜率 (Beta/Slope)：过去60天价格序列对时间的线性回归斜率。代表价格的上涨或下跌趋势强度。  【运行原理】 数据读取：按设定的时间窗口（如5天）提取标的资产的每日收盘价序列； 线性拟合：将时间序列作为自变量，收盘价作为因变量，进行普通最小二乘法(OLS)线性回归； 斜率提取：获取该回归方程的斜率(Slope)，代表资产价格随时间的平均绝对增长率； 价格归一化：将提取出的斜率值除以当前的最新收盘价，将绝对变化率转化为无量纲的相对变化率，以消除不同高低价股位带来的尺度差异。
CNTN10,0.80557,price_volume_factors,【核心含义】 下跌天数占比 (Count Negative)：过去10天中收益率为负的天数占比。反映空头占据优势的交易日频率。  【运行原理】 跌势识别：逐日对比过去N天的收盘价与前一交易日收盘价，仅对“当日收盘价 < 前日收盘价”的交易日进行布尔标记（True为1，False为0）； 概率统计：在滑动窗口内对布尔序列求均值，计算出该区间内阴线（下跌日）出现的相对比例； 情绪刻画：数值越接近1，说明该区间内股票几乎每天都在下跌，反映出极强的空头压制与市场悲观情绪。
QTLU5,0.802174,price_volume_factors,【核心含义】 区间上分位数 (Quantile Up)：过去5天价格的80%分位数相对当前价格的比值。类似布林带上轨概念。  【运行原理】 分位数排序：在设定的N天时间窗口内，将所有交易日的收盘价从小到大进行排列； 高位分位提取：提取位于 80% 分位点(0.8)的收盘价，作为该区间的“稳健压力位”（剔除了极端的单日最高价干扰）； 归一化处理：将该80%分位价格除以当前的最新收盘价； 上行阻力评估：衡量当前价格距离近期筹码高位密集区的距离，评估向上突破需要克服的阻力大小。
HIGH0,0.744641,price_volume_factors,【核心含义】 相对收盘的最高价：衡量今日最高价相对于最新收盘价的位置，反映日内高点回落的幅度。  【运行原理】 数据截取：仅获取当前单个交易日的最高价(high)和收盘价(close)； 相对换算：将当日最高价直接除以当日收盘价； 溢价刻画：结果必然大于或等于1，数值越大，说明日内曾经冲高但最终回落的幅度越深，反映出上方抛压的沉重程度（即长上影线的变体表达）。
