category,factor_name,selected,direction,direction_consistency,composite_score,n_windows_selected,total_windows,earliest_selected_window,meaning,source_file
Price-Volume,CORR10,True,-1.0,1.0,0.3765,3,3,Window_2023,"【核心含义】
量价相关性 (Correlation)：过去10天价格与成交量的相关系数。反映'量增价涨'或'量缩价跌'等量价配合关系的紧密程度。

【运行原理】
序列提取：在设定的N天滑动窗口内，同步截取每日的收盘价序列与成交量序列；
相关性计算：直接对这两个原始绝对值序列计算皮尔逊相关系数(Pearson Correlation)；
状态输出：生成-1到1之间的系数，无需去均值或对数化，用于最直观地评估当前区间内价格高低与成交量大小之间的线性同步程度。",price_volume_factors
Price-Volume,KUP,True,-1.0,1.0,0.3732,3,3,Window_2023,"【核心含义】
K线上影线比例：衡量日内最高价到实体上边缘的距离，反映日内多头向上试探后被空头打压的程度。

【运行原理】
形态截取：获取单日的最高价(high)与收盘价(close)；
上影线（或实体上部）计算：计算最高价与收盘价之差，代表多头冲高后被空头打压回落的空间；
比例换算：将回落空间除以当日开盘价(open)进行标准化；
抛压测试：数值越大，说明日内冲高回落的阻力越强，上方套牢盘或抛压越重。",price_volume_factors
Price-Volume,MAX5,True,-1.0,1.0,0.3675,3,3,Window_2023,"【核心含义】
区间最高价相对值 (Max)：过去5天的最高价相对当前价格的比值。反映当前价格距离前期高点的距离（阻力位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最高价；
峰值提取：找出这N天中的全局最高价(Max)；
压力位归一化：将提取出的历史最高价除以当前的最新收盘价；
破顶距离刻画：数值反映了当前价格距离近期前高的空间。数值越接近1，说明越有突破前高的可能；数值越大，说明距离前高越远，处于深幅回调中。",price_volume_factors
Price-Volume,HIGH0,True,-1.0,1.0,0.3617,3,3,Window_2023,"【核心含义】
相对收盘的最高价：衡量今日最高价相对于最新收盘价的位置，反映日内高点回落的幅度。

【运行原理】
数据截取：仅获取当前单个交易日的最高价(high)和收盘价(close)；
相对换算：将当日最高价直接除以当日收盘价；
溢价刻画：结果必然大于或等于1，数值越大，说明日内曾经冲高但最终回落的幅度越深，反映出上方抛压的沉重程度（即长上影线的变体表达）。",price_volume_factors
Price-Volume,BETA20,True,-1.0,1.0,0.3573,3,3,Window_2023,"【核心含义】
价格趋势斜率 (Beta/Slope)：过去20天价格序列对时间的线性回归斜率。代表价格的上涨或下跌趋势强度。

【运行原理】
数据读取：按设定的时间窗口（如5天）提取标的资产的每日收盘价序列；
线性拟合：将时间序列作为自变量，收盘价作为因变量，进行普通最小二乘法(OLS)线性回归；
斜率提取：获取该回归方程的斜率(Slope)，代表资产价格随时间的平均绝对增长率；
价格归一化：将提取出的斜率值除以当前的最新收盘价，将绝对变化率转化为无量纲的相对变化率，以消除不同高低价股位带来的尺度差异。",price_volume_factors
Price-Volume,CORR5,True,-1.0,1.0,0.3557,3,3,Window_2023,"【核心含义】
量价相关性 (Correlation)：过去5天价格与成交量的相关系数。反映'量增价涨'或'量缩价跌'等量价配合关系的紧密程度。

【运行原理】
序列提取：在设定的N天滑动窗口内，同步截取每日的收盘价序列与成交量序列；
相关性计算：直接对这两个原始绝对值序列计算皮尔逊相关系数(Pearson Correlation)；
状态输出：生成-1到1之间的系数，无需去均值或对数化，用于最直观地评估当前区间内价格高低与成交量大小之间的线性同步程度。",price_volume_factors
Price-Volume,Alpha100,True,-1.0,1.0,0.349,2,3,Window_2023,"【原始公式】
STD(VOLUME,20)

【核心含义】
国泰君安191因子体系中的 Alpha100 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,CORD10,True,-1.0,1.0,0.3482,3,3,Window_2023,"【核心含义】
量价收益率相关性 (Corr of Return/Volume)：过去10天价格收益率与成交量的相关系数。衡量上涨是否伴随放量。

【运行原理】
变化率提取：在设定时间窗口内，分别计算出每日的“价格收益率”(当日收盘/昨日收盘) 和“对数成交量变化率”(Log(当日成交量/昨日成交量+1))；
序列配对：将这两个时间序列组成配对样本；
相关性计算：计算这两个序列在N天内的皮尔逊(Pearson)相关系数；
量价剖析：结果介于-1到1之间，正值代表量价齐升/缩量下跌，负值代表放量下跌/缩量上涨，用于洞察资金推动价格的真实效率。",price_volume_factors
Price-Volume,CORR20,True,-1.0,1.0,0.3382,2,3,Window_2023,"【核心含义】
量价相关性 (Correlation)：过去20天价格与成交量的相关系数。反映'量增价涨'或'量缩价跌'等量价配合关系的紧密程度。

【运行原理】
序列提取：在设定的N天滑动窗口内，同步截取每日的收盘价序列与成交量序列；
相关性计算：直接对这两个原始绝对值序列计算皮尔逊相关系数(Pearson Correlation)；
状态输出：生成-1到1之间的系数，无需去均值或对数化，用于最直观地评估当前区间内价格高低与成交量大小之间的线性同步程度。",price_volume_factors
Price-Volume,Alpha53,True,1.0,1.0,0.3321,2,3,Window_2024,"【原始公式】
COUNT(CLOSE>DELAY(CLOSE,1),12)/12*100

【核心含义】
国泰君安191因子体系中的 Alpha53 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,MAX10,True,-1.0,1.0,0.2938,2,3,Window_2024,"【核心含义】
区间最高价相对值 (Max)：过去10天的最高价相对当前价格的比值。反映当前价格距离前期高点的距离（阻力位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最高价；
峰值提取：找出这N天中的全局最高价(Max)；
压力位归一化：将提取出的历史最高价除以当前的最新收盘价；
破顶距离刻画：数值反映了当前价格距离近期前高的空间。数值越接近1，说明越有突破前高的可能；数值越大，说明距离前高越远，处于深幅回调中。",price_volume_factors
Price-Volume,Alpha139,True,1.0,1.0,0.2594,2,3,Window_2023,"【原始公式】
(-1*CORR(OPEN,VOLUME,10))

【核心含义】
国泰君安191因子体系中的 Alpha139 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,VSTD5,True,-1.0,1.0,0.2459,2,3,Window_2024,"【核心含义】
成交量波动率 (Volume STD)：过去5天成交量的相对标准差。衡量交投活跃度的稳定性。

【运行原理】
量能波动提取：在N天的滑动窗口内，计算每日成交量序列的标准差(Std)，衡量资金参与热度的极热极冷切换频率；
波动归一化：将计算出的成交量绝对标准差除以当前的最新成交量；
筹码稳定性刻画：数值越大，说明近期时而极度缩量时而放出天量，筹码极不稳定；数值越小，说明每日成交量均匀平稳，资金运作有条短不紊。",price_volume_factors
Price-Volume,VMA60,True,1.0,1.0,0.2392,2,3,Window_2024,"【核心含义】
成交量移动平均 (Volume MA)：过去60天的成交量移动平均相对当前成交量的比值。反映成交量的近期均值回归状态。

【运行原理】
成交量聚合：在设定的N天时间窗口内，收集每一天的成交量(volume)；
均量计算：对窗口内的所有成交量求简单算术平均数(Mean)，得到该周期的平均换手水平；
放缩量换算：将计算出的移动平均成交量除以当前的最新成交量（分母加极小值防报错）；
量能异动评估：结果若远小于1，说明当日剧烈放量；若大于1，说明当日缩量。用于判断当前交投活跃度相较于历史均值的异动情况。",price_volume_factors
Price-Volume,VSUMN30,True,1.0,1.0,0.2344,2,3,Window_2023,"【核心含义】
缩量绝对值占比 (Volume Sum Negative)：过去30天中成交量减少部分的绝对量占比。

【运行原理】
杀跌量剥离：在N天窗口内，专门筛选出股价下跌当天的成交量变化量（若比前一日缩量则取差值，具体视公式而定）；
空头量能累加：将符合条件的下跌量能进行加总；
总基准归一化：将总的空头量能除以这N天内所有的成交量绝对变化之和；
恐慌抛盘评估：数值越大，说明该区间内的波动主要由恐慌性的放量杀跌所主导。",price_volume_factors
Reversal,VOL_REV,True,1.0,1.0,0.643,3,3,Window_2023,过去60日收益率标准差取负，捕捉波动率反转效应,reversal_momentum_factors
Size & Liquidity,total_mv_log,True,-1.0,1.0,0.5646,3,3,Window_2023,总市值对数（负向）,style_factors
Volatility & Risk,volatility_1m,True,-1.0,1.0,0.6021,2,3,Window_2023,过去20个交易日的日收益率标准差。低波动率异象：A股中历史波动率低的股票，未来收益往往更高且回撤小。,risk_factors
Volatility & Risk,shareholder_change,True,-1.0,1.0,0.4276,2,3,Window_2023,股东人数变化。需 forward-fill 后做 LAG，走 Qlib 兜底。,risk_factors
