category,factor_name,selected,importance,rank,ic_mean,icir,t_stat,p_value,adjusted_pvalue,composite_score,meaning,source_file,window
Price-Volume,QTLD20,True,0.1593,14,0.039937,0.2675,5.7685,0.0,0.0,0.4231,"【核心含义】
区间下分位数 (Quantile Down)：过去20天价格的20%分位数相对当前价格的比值。类似布林带下轨概念。

【运行原理】
分位数排序：在设定的N天时间窗口内，将所有交易日的收盘价从小到大进行排列；
低位分位提取：提取位于 20% 分位点(0.2)的收盘价，作为该区间的“稳健支撑位”（剔除了极端的单日最低价干扰）；
归一化处理：将该20%分位价格除以当前的最新收盘价；
下行空间评估：用于衡量当前价格距离近期筹码低位密集区的距离，评估向下回调的潜在缓冲空间。",price_volume_factors,Window_2023
Price-Volume,KLEN,True,0.0225,15,-0.048867,-0.3128,-6.8307,0.0,0.0,0.4169,"【核心含义】
K线全长比例：衡量日内最高价与最低价之间的整体波动幅度，反映日内整体的交易活跃度与分歧。

【运行原理】
日内振幅提取：获取当日的最高价(high)和最低价(low)，两者的差值即为全天价格的最大波动区间；
基准标定：获取当日的开盘价(open)作为日内波动的基准参考；
无量纲化：将全天波动区间除以开盘价；
波动率刻画：结果反映了单日内多空双方交战的激烈程度，数值越大说明日内分歧和洗盘越剧烈。",price_volume_factors,Window_2023
Price-Volume,Alpha134,True,0.2287,16,-0.032578,-0.2169,-4.617,5e-06,1.9e-05,0.4157,"【原始公式】
(CLOSE-DELAY(CLOSE,12))/DELAY(CLOSE,12)*VOLUME

【核心含义】
国泰君安191因子体系中的 Alpha134 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,IMAX30,True,0.2213,17,-0.031893,-0.244,-5.2957,0.0,0.0,0.4155,"【核心含义】
最高价距离天数 (Index of Max)：过去30天中最高价发生在那一天（距离当前的倒数天数）。反映高点的时效性。

【运行原理】
极值寻址：在设定的N天时间窗口内，扫描每日的最高价，定位到最大值出现的那一天；
索引提取：获取该最大值所在天数距离当前窗口起始点的索引位置(IdxMax)；
时间归一化：将该位置索引除以窗口总长度N；
动能衰减评估：结果越接近1，说明创出新高的时间越近（近期动能强）；越接近0，说明高点在窗口早期，当前处于长期回调中。",price_volume_factors,Window_2023
Price-Volume,BETA30,True,0.2358,18,-0.031425,-0.2002,-4.3677,1.5e-05,5e-05,0.4125,"【核心含义】
价格趋势斜率 (Beta/Slope)：过去30天价格序列对时间的线性回归斜率。代表价格的上涨或下跌趋势强度。

【运行原理】
数据读取：按设定的时间窗口（如5天）提取标的资产的每日收盘价序列；
线性拟合：将时间序列作为自变量，收盘价作为因变量，进行普通最小二乘法(OLS)线性回归；
斜率提取：获取该回归方程的斜率(Slope)，代表资产价格随时间的平均绝对增长率；
价格归一化：将提取出的斜率值除以当前的最新收盘价，将绝对变化率转化为无量纲的相对变化率，以消除不同高低价股位带来的尺度差异。",price_volume_factors,Window_2023
Price-Volume,CORR30,True,0.1686,19,-0.034124,-0.2793,-6.101,0.0,0.0,0.4124,"【核心含义】
量价相关性 (Correlation)：过去30天价格与成交量的相关系数。反映'量增价涨'或'量缩价跌'等量价配合关系的紧密程度。

【运行原理】
序列提取：在设定的N天滑动窗口内，同步截取每日的收盘价序列与成交量序列；
相关性计算：直接对这两个原始绝对值序列计算皮尔逊相关系数(Pearson Correlation)；
状态输出：生成-1到1之间的系数，无需去均值或对数化，用于最直观地评估当前区间内价格高低与成交量大小之间的线性同步程度。",price_volume_factors,Window_2023
Price-Volume,CORD60,True,0.2571,20,-0.026819,-0.2283,-4.9852,1e-06,5e-06,0.4099,"【核心含义】
量价收益率相关性 (Corr of Return/Volume)：过去60天价格收益率与成交量的相关系数。衡量上涨是否伴随放量。

【运行原理】
变化率提取：在设定时间窗口内，分别计算出每日的“价格收益率”(当日收盘/昨日收盘) 和“对数成交量变化率”(Log(当日成交量/昨日成交量+1))；
序列配对：将这两个时间序列组成配对样本；
相关性计算：计算这两个序列在N天内的皮尔逊(Pearson)相关系数；
量价剖析：结果介于-1到1之间，正值代表量价齐升/缩量下跌，负值代表放量下跌/缩量上涨，用于洞察资金推动价格的真实效率。",price_volume_factors,Window_2023
Price-Volume,STD5,True,0.0299,21,-0.043906,-0.3034,-6.6119,0.0,0.0,0.4052,"【核心含义】
价格波动率 (Standard Deviation)：过去5天价格的相对标准差。衡量股票在该窗口期内的波动风险和活跃度。

【运行原理】
波动离散：在N天的滑动窗口内，计算每日收盘价序列的总体标准差(Std)，衡量价格分布的离散程度；
波动率归一化：将计算出的绝对标准差除以当前的最新收盘价；
风险刻画：将绝对的金额波动转化为相对的百分比波动率，数值越大说明近期走势越剧烈（风险与弹性高），数值越小说明走势越趋于横盘死水。",price_volume_factors,Window_2023
Price-Volume,QTLU60,True,0.1101,22,0.039515,0.2263,4.9017,1e-06,5e-06,0.4046,"【核心含义】
区间上分位数 (Quantile Up)：过去60天价格的80%分位数相对当前价格的比值。类似布林带上轨概念。

【运行原理】
分位数排序：在设定的N天时间窗口内，将所有交易日的收盘价从小到大进行排列；
高位分位提取：提取位于 80% 分位点(0.8)的收盘价，作为该区间的“稳健压力位”（剔除了极端的单日最高价干扰）；
归一化处理：将该80%分位价格除以当前的最新收盘价；
上行阻力评估：衡量当前价格距离近期筹码高位密集区的距离，评估向上突破需要克服的阻力大小。",price_volume_factors,Window_2023
Price-Volume,MA60,True,0.1238,23,0.03833,0.219,4.7735,2e-06,9e-06,0.4042,"【核心含义】
移动平均 (Moving Average)：过去60天的价格移动平均相对当前价格的比值。反映短期均线乖离率，常用于均线回归或趋势判断。

【运行原理】
窗口聚合：在设定的N天时间窗口内，收集每一天的收盘价；
均值计算：对窗口内的所有收盘价求简单算术平均数(Mean)，得到该周期的移动平均线点位；
乖离率换算：将计算出的移动平均值除以当前的最新收盘价；
偏离度评估：结果大于1代表价格跌破均线（超卖或下行），小于1代表价格在均线上方（超买或上行），反映了短期价格相对均值中枢的偏离状态。",price_volume_factors,Window_2023
Price-Volume,STD10,True,0.1509,24,-0.035093,-0.2267,-4.9419,1e-06,5e-06,0.4038,"【核心含义】
价格波动率 (Standard Deviation)：过去10天价格的相对标准差。衡量股票在该窗口期内的波动风险和活跃度。

【运行原理】
波动离散：在N天的滑动窗口内，计算每日收盘价序列的总体标准差(Std)，衡量价格分布的离散程度；
波动率归一化：将计算出的绝对标准差除以当前的最新收盘价；
风险刻画：将绝对的金额波动转化为相对的百分比波动率，数值越大说明近期走势越剧烈（风险与弹性高），数值越小说明走势越趋于横盘死水。",price_volume_factors,Window_2023
Price-Volume,SUMN30,True,0.0653,25,0.039866,0.2591,5.6528,0.0,0.0,0.3984,"【核心含义】
负收益绝对值占比 (Sum Negative)：过去30天中所有负收益之和占总绝对收益的比例。反映空头砸盘的绝对力量。

【运行原理】
空头剥离：在N天的滑动窗口内，逐日比对收盘价，仅提取出下跌交易日（今日收盘<昨日收盘）的下跌绝对点数；
空头动能累加：将这N天内的所有下跌点数进行求和；
基准归一化：将空头总动能除以这N天内所有价格变化（无论涨跌）的绝对值总和；
空方势能评估：结果在0到1之间，数值越大说明区间内空头杀跌的力度在总波动中占据绝对主导。",price_volume_factors,Window_2023
Price-Volume,CORD30,True,0.1302,26,-0.031947,-0.2746,-5.9976,0.0,0.0,0.3968,"【核心含义】
量价收益率相关性 (Corr of Return/Volume)：过去30天价格收益率与成交量的相关系数。衡量上涨是否伴随放量。

【运行原理】
变化率提取：在设定时间窗口内，分别计算出每日的“价格收益率”(当日收盘/昨日收盘) 和“对数成交量变化率”(Log(当日成交量/昨日成交量+1))；
序列配对：将这两个时间序列组成配对样本；
相关性计算：计算这两个序列在N天内的皮尔逊(Pearson)相关系数；
量价剖析：结果介于-1到1之间，正值代表量价齐升/缩量下跌，负值代表放量下跌/缩量上涨，用于洞察资金推动价格的真实效率。",price_volume_factors,Window_2023
Price-Volume,CORR20,True,0.1659,27,-0.029388,-0.2516,-5.4951,0.0,0.0,0.3964,"【核心含义】
量价相关性 (Correlation)：过去20天价格与成交量的相关系数。反映'量增价涨'或'量缩价跌'等量价配合关系的紧密程度。

【运行原理】
序列提取：在设定的N天滑动窗口内，同步截取每日的收盘价序列与成交量序列；
相关性计算：直接对这两个原始绝对值序列计算皮尔逊相关系数(Pearson Correlation)；
状态输出：生成-1到1之间的系数，无需去均值或对数化，用于最直观地评估当前区间内价格高低与成交量大小之间的线性同步程度。",price_volume_factors,Window_2023
Price-Volume,STD20,True,0.1602,28,-0.032399,-0.193,-4.2062,3.1e-05,9.9e-05,0.3952,"【核心含义】
价格波动率 (Standard Deviation)：过去20天价格的相对标准差。衡量股票在该窗口期内的波动风险和活跃度。

【运行原理】
波动离散：在N天的滑动窗口内，计算每日收盘价序列的总体标准差(Std)，衡量价格分布的离散程度；
波动率归一化：将计算出的绝对标准差除以当前的最新收盘价；
风险刻画：将绝对的金额波动转化为相对的百分比波动率，数值越大说明近期走势越剧烈（风险与弹性高），数值越小说明走势越趋于横盘死水。",price_volume_factors,Window_2023
Price-Volume,MIN30,True,0.0953,29,0.036244,0.2278,4.9694,1e-06,5e-06,0.3929,"【核心含义】
区间最低价相对值 (Min)：过去30天的最低价相对当前价格的比值。反映当前价格距离前期低点的距离（支撑位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最低价；
谷值提取：找出这N天中的全局最低价(Min)，即近期的支撑位；
支撑位归一化：将提取出的历史最低价除以当前的最新收盘价；
破底距离刻画：数值反映了当前价格距离近期前低的空间。数值越接近1，说明面临破位风险；数值越小（离1越远），说明已经大幅反弹脱离底部。",price_volume_factors,Window_2023
Price-Volume,IMXD30,True,0.1652,30,-0.029443,-0.2128,-4.6428,4e-06,1.6e-05,0.3915,"【核心含义】
高低点极值距离 (Index Distance)：过去30天内最高价和最低价发生天数的差值。反映趋势的运行节奏和周期。

【运行原理】
高点寻址：在N天窗口内找到最高价所在的时间索引(IdxMax)；
低点寻址：在同一窗口内找到最低价所在的时间索引(IdxMin)；
时差计算：将高点索引减去低点索引，得出极值点之间的时间跨度；
跨度归一化：将时间跨度除以窗口长度N；
趋势形态判定：正值表示“先见底后见顶”（上升趋势），负值表示“先见顶后见底”（下降趋势），绝对值大小代表趋势持续的时间跨度。",price_volume_factors,Window_2023
Price-Volume,CORR10,True,0.1177,31,-0.029045,-0.2779,-6.0684,0.0,0.0,0.3868,"【核心含义】
量价相关性 (Correlation)：过去10天价格与成交量的相关系数。反映'量增价涨'或'量缩价跌'等量价配合关系的紧密程度。

【运行原理】
序列提取：在设定的N天滑动窗口内，同步截取每日的收盘价序列与成交量序列；
相关性计算：直接对这两个原始绝对值序列计算皮尔逊相关系数(Pearson Correlation)；
状态输出：生成-1到1之间的系数，无需去均值或对数化，用于最直观地评估当前区间内价格高低与成交量大小之间的线性同步程度。",price_volume_factors,Window_2023
Price-Volume,BETA20,True,0.1321,32,-0.031233,-0.204,-4.45,1.1e-05,3.9e-05,0.3866,"【核心含义】
价格趋势斜率 (Beta/Slope)：过去20天价格序列对时间的线性回归斜率。代表价格的上涨或下跌趋势强度。

【运行原理】
数据读取：按设定的时间窗口（如5天）提取标的资产的每日收盘价序列；
线性拟合：将时间序列作为自变量，收盘价作为因变量，进行普通最小二乘法(OLS)线性回归；
斜率提取：获取该回归方程的斜率(Slope)，代表资产价格随时间的平均绝对增长率；
价格归一化：将提取出的斜率值除以当前的最新收盘价，将绝对变化率转化为无量纲的相对变化率，以消除不同高低价股位带来的尺度差异。",price_volume_factors,Window_2023
Price-Volume,CORR60,True,0.3134,33,-0.021013,-0.1615,-3.5277,0.00046,0.00115,0.3833,"【核心含义】
量价相关性 (Correlation)：过去60天价格与成交量的相关系数。反映'量增价涨'或'量缩价跌'等量价配合关系的紧密程度。

【运行原理】
序列提取：在设定的N天滑动窗口内，同步截取每日的收盘价序列与成交量序列；
相关性计算：直接对这两个原始绝对值序列计算皮尔逊相关系数(Pearson Correlation)；
状态输出：生成-1到1之间的系数，无需去均值或对数化，用于最直观地评估当前区间内价格高低与成交量大小之间的线性同步程度。",price_volume_factors,Window_2023
Price-Volume,SUMN60,True,0.082,34,0.034481,0.2062,4.4978,9e-06,3.2e-05,0.3825,"【核心含义】
负收益绝对值占比 (Sum Negative)：过去60天中所有负收益之和占总绝对收益的比例。反映空头砸盘的绝对力量。

【运行原理】
空头剥离：在N天的滑动窗口内，逐日比对收盘价，仅提取出下跌交易日（今日收盘<昨日收盘）的下跌绝对点数；
空头动能累加：将这N天内的所有下跌点数进行求和；
基准归一化：将空头总动能除以这N天内所有价格变化（无论涨跌）的绝对值总和；
空方势能评估：结果在0到1之间，数值越大说明区间内空头杀跌的力度在总波动中占据绝对主导。",price_volume_factors,Window_2023
Price-Volume,RANK60,True,0.0755,35,-0.034546,-0.2131,-4.6303,5e-06,1.9e-05,0.3819,"【核心含义】
价格相对排位 (Rank)：当前价格在过去60天价格中的百分比排位。反映当前处于近期波动区间的什么水平。

【运行原理】
数据收集：在N天的滑动窗口内，收集每日的收盘价；
截面排序：将当前的最新收盘价与窗口内历史所有收盘价进行大小比对；
分位数换算：计算当前价格在历史序列中所处的百分比排名(Rank)；
相对强弱定性：结果在0到1之间，1表示当前创出新高，0表示创出新低，用于判断当前价格在近期波动区间内的相对身位。",price_volume_factors,Window_2023
Price-Volume,MAX5,True,0.2392,36,-0.024245,-0.1625,-3.5497,0.000424,0.001079,0.3738,"【核心含义】
区间最高价相对值 (Max)：过去5天的最高价相对当前价格的比值。反映当前价格距离前期高点的距离（阻力位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最高价；
峰值提取：找出这N天中的全局最高价(Max)；
压力位归一化：将提取出的历史最高价除以当前的最新收盘价；
破顶距离刻画：数值反映了当前价格距离近期前高的空间。数值越接近1，说明越有突破前高的可能；数值越大，说明距离前高越远，处于深幅回调中。",price_volume_factors,Window_2023
Price-Volume,MIN10,True,0.0567,37,0.031403,0.2205,4.81,2e-06,9e-06,0.3702,"【核心含义】
区间最低价相对值 (Min)：过去10天的最低价相对当前价格的比值。反映当前价格距离前期低点的距离（支撑位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最低价；
谷值提取：找出这N天中的全局最低价(Min)，即近期的支撑位；
支撑位归一化：将提取出的历史最低价除以当前的最新收盘价；
破底距离刻画：数值反映了当前价格距离近期前低的空间。数值越接近1，说明面临破位风险；数值越小（离1越远），说明已经大幅反弹脱离底部。",price_volume_factors,Window_2023
Price-Volume,MIN5,True,0.0453,38,0.031937,0.2296,5.0089,1e-06,5e-06,0.3699,"【核心含义】
区间最低价相对值 (Min)：过去5天的最低价相对当前价格的比值。反映当前价格距离前期低点的距离（支撑位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最低价；
谷值提取：找出这N天中的全局最低价(Min)，即近期的支撑位；
支撑位归一化：将提取出的历史最低价除以当前的最新收盘价；
破底距离刻画：数值反映了当前价格距离近期前低的空间。数值越接近1，说明面临破位风险；数值越小（离1越远），说明已经大幅反弹脱离底部。",price_volume_factors,Window_2023
Price-Volume,CORD20,True,0.0925,39,-0.026729,-0.2382,-5.2021,0.0,0.0,0.3697,"【核心含义】
量价收益率相关性 (Corr of Return/Volume)：过去20天价格收益率与成交量的相关系数。衡量上涨是否伴随放量。

【运行原理】
变化率提取：在设定时间窗口内，分别计算出每日的“价格收益率”(当日收盘/昨日收盘) 和“对数成交量变化率”(Log(当日成交量/昨日成交量+1))；
序列配对：将这两个时间序列组成配对样本；
相关性计算：计算这两个序列在N天内的皮尔逊(Pearson)相关系数；
量价剖析：结果介于-1到1之间，正值代表量价齐升/缩量下跌，负值代表放量下跌/缩量上涨，用于洞察资金推动价格的真实效率。",price_volume_factors,Window_2023
Price-Volume,LOW0,True,0.0094,40,0.032974,0.2501,5.4566,0.0,0.0,0.366,"【核心含义】
相对收盘的最低价：衡量今日最低价相对于最新收盘价的位置，反映日内低点反弹的幅度。

【运行原理】
数据截取：仅获取当前单个交易日的最低价(low)和收盘价(close)；
相对换算：将当日最低价直接除以当日收盘价；
折价刻画：结果必然小于或等于1，数值越小，说明日内曾经深度下探但最终被强力拉回，反映出下方承接盘的厚度（长下影线的变体表达）。",price_volume_factors,Window_2023
Price-Volume,Alpha14,True,0.2592,41,-0.021398,-0.1562,-3.3764,0.000796,0.001857,0.3644,"【原始公式】
CLOSE-DELAY(CLOSE,5)

【核心含义】
国泰君安191因子体系中的 Alpha14 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,VSUMN30,True,0.0091,42,0.029587,0.2751,6.0092,0.0,0.0,0.3606,"【核心含义】
缩量绝对值占比 (Volume Sum Negative)：过去30天中成交量减少部分的绝对量占比。

【运行原理】
杀跌量剥离：在N天窗口内，专门筛选出股价下跌当天的成交量变化量（若比前一日缩量则取差值，具体视公式而定）；
空头量能累加：将符合条件的下跌量能进行加总；
总基准归一化：将总的空头量能除以这N天内所有的成交量绝对变化之和；
恐慌抛盘评估：数值越大，说明该区间内的波动主要由恐慌性的放量杀跌所主导。",price_volume_factors,Window_2023
Price-Volume,KLOW,True,0.04,43,-0.02734,-0.2447,-5.3332,0.0,0.0,0.3589,"【核心含义】
K线下影线比例：衡量实体下边缘到日内最低价的距离，反映日内空头向下试探后被多头托起的程度。

【运行原理】
形态截取：获取当日的收盘价(close)和最低价(low)；
下影线（或实体下部）计算：计算两者之间的绝对差值，代表价格从日内低点被拉回（或砸下）的空间；
比例换算：将该差值除以当日开盘价(open)进行标准化；
支撑测试：该指标用于刻画下方买盘的承接力度，数值越大说明日内探底回升的动作越明显。",price_volume_factors,Window_2023
Price-Volume,Alpha40,True,0.0546,44,-0.027261,-0.2055,-4.4792,9e-06,3.2e-05,0.3575,"【原始公式】
SUM((CLOSE>DELAY(CLOSE,1)?VOLUME:0),26)/SUM((CLOSE<=DELAY(CLOSE,1)?VOLUME:0),26)*100

【核心含义】
国泰君安191因子体系中的 Alpha40 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,CNTP30,True,0.0621,45,-0.025628,-0.1933,-4.217,3e-05,9.8e-05,0.3537,"【核心含义】
上涨天数占比 (Count Positive)：过去30天中收益率为正的天数占比。反映多头占据优势的交易日频率。

【运行原理】
涨势识别：逐日对比过去N天收盘价与前一交易日收盘价，提取出“当日收盘价 > 前日收盘价”的阳线（上涨日）并标记为1，其余为0；
概率统计：对该布尔序列在时间窗口内求均值，得出上涨交易日所占的百分比；
情绪刻画：数值越接近1，表明区间内股票连涨天数越多，市场处于强势的多头逼空状态或极度乐观情绪中。",price_volume_factors,Window_2023
Price-Volume,BETA10,True,0.101,46,-0.025064,-0.1733,-3.7805,0.000176,0.000465,0.3513,"【核心含义】
价格趋势斜率 (Beta/Slope)：过去10天价格序列对时间的线性回归斜率。代表价格的上涨或下跌趋势强度。

【运行原理】
数据读取：按设定的时间窗口（如5天）提取标的资产的每日收盘价序列；
线性拟合：将时间序列作为自变量，收盘价作为因变量，进行普通最小二乘法(OLS)线性回归；
斜率提取：获取该回归方程的斜率(Slope)，代表资产价格随时间的平均绝对增长率；
价格归一化：将提取出的斜率值除以当前的最新收盘价，将绝对变化率转化为无量纲的相对变化率，以消除不同高低价股位带来的尺度差异。",price_volume_factors,Window_2023
