category,factor_name,selected,direction,direction_consistency,composite_score,n_windows_selected,total_windows,earliest_selected_window,meaning,source_file
Price-Volume,IMIN60,False,1.0,1.0,0.4121,2,3,Window_2024,"【核心含义】
最低价距离天数 (Index of Min)：过去60天中最低价发生在那一天。反映低点的时效性。

【运行原理】
极值寻址：在N天滑动窗口内，扫描每日最低价，定位到最小值出现的那一天；
索引提取：获取该最小值距离窗口起始位置的时间索引(IdxMin)；
时间归一化：将索引值除以窗口总长度N，转换为0到1之间的相对时间比例；
见底时间评估：数值越大说明近期刚刚创出新低，抛压仍在释放；数值越小说明低点发生在窗口初期，目前可能已企稳反弹。",price_volume_factors
Price-Volume,QTLD30,False,1.0,1.0,0.4115,3,3,Window_2023,"【核心含义】
区间下分位数 (Quantile Down)：过去30天价格的20%分位数相对当前价格的比值。类似布林带下轨概念。

【运行原理】
分位数排序：在设定的N天时间窗口内，将所有交易日的收盘价从小到大进行排列；
低位分位提取：提取位于 20% 分位点(0.2)的收盘价，作为该区间的“稳健支撑位”（剔除了极端的单日最低价干扰）；
归一化处理：将该20%分位价格除以当前的最新收盘价；
下行空间评估：用于衡量当前价格距离近期筹码低位密集区的距离，评估向下回调的潜在缓冲空间。",price_volume_factors
Price-Volume,IMAX30,False,-1.0,1.0,0.4077,3,3,Window_2023,"【核心含义】
最高价距离天数 (Index of Max)：过去30天中最高价发生在那一天（距离当前的倒数天数）。反映高点的时效性。

【运行原理】
极值寻址：在设定的N天时间窗口内，扫描每日的最高价，定位到最大值出现的那一天；
索引提取：获取该最大值所在天数距离当前窗口起始点的索引位置(IdxMax)；
时间归一化：将该位置索引除以窗口总长度N；
动能衰减评估：结果越接近1，说明创出新高的时间越近（近期动能强）；越接近0，说明高点在窗口早期，当前处于长期回调中。",price_volume_factors
Price-Volume,CORD30,True,-1.0,1.0,0.406,3,3,Window_2023,"【核心含义】
量价收益率相关性 (Corr of Return/Volume)：过去30天价格收益率与成交量的相关系数。衡量上涨是否伴随放量。

【运行原理】
变化率提取：在设定时间窗口内，分别计算出每日的“价格收益率”(当日收盘/昨日收盘) 和“对数成交量变化率”(Log(当日成交量/昨日成交量+1))；
序列配对：将这两个时间序列组成配对样本；
相关性计算：计算这两个序列在N天内的皮尔逊(Pearson)相关系数；
量价剖析：结果介于-1到1之间，正值代表量价齐升/缩量下跌，负值代表放量下跌/缩量上涨，用于洞察资金推动价格的真实效率。",price_volume_factors
Price-Volume,IMXD30,False,-1.0,1.0,0.3982,3,3,Window_2023,"【核心含义】
高低点极值距离 (Index Distance)：过去30天内最高价和最低价发生天数的差值。反映趋势的运行节奏和周期。

【运行原理】
高点寻址：在N天窗口内找到最高价所在的时间索引(IdxMax)；
低点寻址：在同一窗口内找到最低价所在的时间索引(IdxMin)；
时差计算：将高点索引减去低点索引，得出极值点之间的时间跨度；
跨度归一化：将时间跨度除以窗口长度N；
趋势形态判定：正值表示“先见底后见顶”（上升趋势），负值表示“先见顶后见底”（下降趋势），绝对值大小代表趋势持续的时间跨度。",price_volume_factors
Price-Volume,MIN5,True,1.0,1.0,0.398,3,3,Window_2023,"【核心含义】
区间最低价相对值 (Min)：过去5天的最低价相对当前价格的比值。反映当前价格距离前期低点的距离（支撑位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最低价；
谷值提取：找出这N天中的全局最低价(Min)，即近期的支撑位；
支撑位归一化：将提取出的历史最低价除以当前的最新收盘价；
破底距离刻画：数值反映了当前价格距离近期前低的空间。数值越接近1，说明面临破位风险；数值越小（离1越远），说明已经大幅反弹脱离底部。",price_volume_factors
Price-Volume,BETA30,False,-1.0,1.0,0.3949,3,3,Window_2023,"【核心含义】
价格趋势斜率 (Beta/Slope)：过去30天价格序列对时间的线性回归斜率。代表价格的上涨或下跌趋势强度。

【运行原理】
数据读取：按设定的时间窗口（如5天）提取标的资产的每日收盘价序列；
线性拟合：将时间序列作为自变量，收盘价作为因变量，进行普通最小二乘法(OLS)线性回归；
斜率提取：获取该回归方程的斜率(Slope)，代表资产价格随时间的平均绝对增长率；
价格归一化：将提取出的斜率值除以当前的最新收盘价，将绝对变化率转化为无量纲的相对变化率，以消除不同高低价股位带来的尺度差异。",price_volume_factors
Price-Volume,MIN10,True,1.0,1.0,0.3936,3,3,Window_2023,"【核心含义】
区间最低价相对值 (Min)：过去10天的最低价相对当前价格的比值。反映当前价格距离前期低点的距离（支撑位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最低价；
谷值提取：找出这N天中的全局最低价(Min)，即近期的支撑位；
支撑位归一化：将提取出的历史最低价除以当前的最新收盘价；
破底距离刻画：数值反映了当前价格距离近期前低的空间。数值越接近1，说明面临破位风险；数值越小（离1越远），说明已经大幅反弹脱离底部。",price_volume_factors
Price-Volume,LOW0,True,1.0,1.0,0.3931,3,3,Window_2023,"【核心含义】
相对收盘的最低价：衡量今日最低价相对于最新收盘价的位置，反映日内低点反弹的幅度。

【运行原理】
数据截取：仅获取当前单个交易日的最低价(low)和收盘价(close)；
相对换算：将当日最低价直接除以当日收盘价；
折价刻画：结果必然小于或等于1，数值越小，说明日内曾经深度下探但最终被强力拉回，反映出下方承接盘的厚度（长下影线的变体表达）。",price_volume_factors
Price-Volume,CORD60,True,-1.0,1.0,0.3928,3,3,Window_2023,"【核心含义】
量价收益率相关性 (Corr of Return/Volume)：过去60天价格收益率与成交量的相关系数。衡量上涨是否伴随放量。

【运行原理】
变化率提取：在设定时间窗口内，分别计算出每日的“价格收益率”(当日收盘/昨日收盘) 和“对数成交量变化率”(Log(当日成交量/昨日成交量+1))；
序列配对：将这两个时间序列组成配对样本；
相关性计算：计算这两个序列在N天内的皮尔逊(Pearson)相关系数；
量价剖析：结果介于-1到1之间，正值代表量价齐升/缩量下跌，负值代表放量下跌/缩量上涨，用于洞察资金推动价格的真实效率。",price_volume_factors
Price-Volume,IMIN30,False,1.0,1.0,0.3919,3,3,Window_2023,"【核心含义】
最低价距离天数 (Index of Min)：过去30天中最低价发生在那一天。反映低点的时效性。

【运行原理】
极值寻址：在N天滑动窗口内，扫描每日最低价，定位到最小值出现的那一天；
索引提取：获取该最小值距离窗口起始位置的时间索引(IdxMin)；
时间归一化：将索引值除以窗口总长度N，转换为0到1之间的相对时间比例；
见底时间评估：数值越大说明近期刚刚创出新低，抛压仍在释放；数值越小说明低点发生在窗口初期，目前可能已企稳反弹。",price_volume_factors
Price-Volume,CORR30,True,-1.0,1.0,0.3915,3,3,Window_2023,"【核心含义】
量价相关性 (Correlation)：过去30天价格与成交量的相关系数。反映'量增价涨'或'量缩价跌'等量价配合关系的紧密程度。

【运行原理】
序列提取：在设定的N天滑动窗口内，同步截取每日的收盘价序列与成交量序列；
相关性计算：直接对这两个原始绝对值序列计算皮尔逊相关系数(Pearson Correlation)；
状态输出：生成-1到1之间的系数，无需去均值或对数化，用于最直观地评估当前区间内价格高低与成交量大小之间的线性同步程度。",price_volume_factors
Price-Volume,STD30,False,-1.0,1.0,0.3879,2,3,Window_2024,"【核心含义】
价格波动率 (Standard Deviation)：过去30天价格的相对标准差。衡量股票在该窗口期内的波动风险和活跃度。

【运行原理】
波动离散：在N天的滑动窗口内，计算每日收盘价序列的总体标准差(Std)，衡量价格分布的离散程度；
波动率归一化：将计算出的绝对标准差除以当前的最新收盘价；
风险刻画：将绝对的金额波动转化为相对的百分比波动率，数值越大说明近期走势越剧烈（风险与弹性高），数值越小说明走势越趋于横盘死水。",price_volume_factors
Price-Volume,RANK60,False,-1.0,1.0,0.3827,3,3,Window_2023,"【核心含义】
价格相对排位 (Rank)：当前价格在过去60天价格中的百分比排位。反映当前处于近期波动区间的什么水平。

【运行原理】
数据收集：在N天的滑动窗口内，收集每日的收盘价；
截面排序：将当前的最新收盘价与窗口内历史所有收盘价进行大小比对；
分位数换算：计算当前价格在历史序列中所处的百分比排名(Rank)；
相对强弱定性：结果在0到1之间，1表示当前创出新高，0表示创出新低，用于判断当前价格在近期波动区间内的相对身位。",price_volume_factors
Price-Volume,KLOW,True,-1.0,1.0,0.3817,3,3,Window_2023,"【核心含义】
K线下影线比例：衡量实体下边缘到日内最低价的距离，反映日内空头向下试探后被多头托起的程度。

【运行原理】
形态截取：获取当日的收盘价(close)和最低价(low)；
下影线（或实体下部）计算：计算两者之间的绝对差值，代表价格从日内低点被拉回（或砸下）的空间；
比例换算：将该差值除以当日开盘价(open)进行标准化；
支撑测试：该指标用于刻画下方买盘的承接力度，数值越大说明日内探底回升的动作越明显。",price_volume_factors
Price-Volume,Alpha134,True,-1.0,1.0,0.3814,3,3,Window_2023,"【原始公式】
(CLOSE-DELAY(CLOSE,12))/DELAY(CLOSE,12)*VOLUME

【核心含义】
国泰君安191因子体系中的 Alpha134 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,Alpha153,False,-1.0,1.0,0.3808,2,3,Window_2024,"【原始公式】
(MEAN(CLOSE,3)+MEAN(CLOSE,6)+MEAN(CLOSE,12)+MEAN(CLOSE,24))/4

【核心含义】
国泰君安191因子体系中的 Alpha153 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,CORD20,True,-1.0,1.0,0.3797,3,3,Window_2023,"【核心含义】
量价收益率相关性 (Corr of Return/Volume)：过去20天价格收益率与成交量的相关系数。衡量上涨是否伴随放量。

【运行原理】
变化率提取：在设定时间窗口内，分别计算出每日的“价格收益率”(当日收盘/昨日收盘) 和“对数成交量变化率”(Log(当日成交量/昨日成交量+1))；
序列配对：将这两个时间序列组成配对样本；
相关性计算：计算这两个序列在N天内的皮尔逊(Pearson)相关系数；
量价剖析：结果介于-1到1之间，正值代表量价齐升/缩量下跌，负值代表放量下跌/缩量上涨，用于洞察资金推动价格的真实效率。",price_volume_factors
Price-Volume,CORR10,True,-1.0,1.0,0.3765,3,3,Window_2023,"【核心含义】
量价相关性 (Correlation)：过去10天价格与成交量的相关系数。反映'量增价涨'或'量缩价跌'等量价配合关系的紧密程度。

【运行原理】
序列提取：在设定的N天滑动窗口内，同步截取每日的收盘价序列与成交量序列；
相关性计算：直接对这两个原始绝对值序列计算皮尔逊相关系数(Pearson Correlation)；
状态输出：生成-1到1之间的系数，无需去均值或对数化，用于最直观地评估当前区间内价格高低与成交量大小之间的线性同步程度。",price_volume_factors
Price-Volume,KUP,True,-1.0,1.0,0.3732,3,3,Window_2023,"【核心含义】
K线上影线比例：衡量日内最高价到实体上边缘的距离，反映日内多头向上试探后被空头打压的程度。

【运行原理】
形态截取：获取单日的最高价(high)与收盘价(close)；
上影线（或实体上部）计算：计算最高价与收盘价之差，代表多头冲高后被空头打压回落的空间；
比例换算：将回落空间除以当日开盘价(open)进行标准化；
抛压测试：数值越大，说明日内冲高回落的阻力越强，上方套牢盘或抛压越重。",price_volume_factors
Price-Volume,IMXD60,False,-1.0,1.0,0.3692,2,3,Window_2023,"【核心含义】
高低点极值距离 (Index Distance)：过去60天内最高价和最低价发生天数的差值。反映趋势的运行节奏和周期。

【运行原理】
高点寻址：在N天窗口内找到最高价所在的时间索引(IdxMax)；
低点寻址：在同一窗口内找到最低价所在的时间索引(IdxMin)；
时差计算：将高点索引减去低点索引，得出极值点之间的时间跨度；
跨度归一化：将时间跨度除以窗口长度N；
趋势形态判定：正值表示“先见底后见顶”（上升趋势），负值表示“先见顶后见底”（下降趋势），绝对值大小代表趋势持续的时间跨度。",price_volume_factors
Price-Volume,MAX5,True,-1.0,1.0,0.3675,3,3,Window_2023,"【核心含义】
区间最高价相对值 (Max)：过去5天的最高价相对当前价格的比值。反映当前价格距离前期高点的距离（阻力位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最高价；
峰值提取：找出这N天中的全局最高价(Max)；
压力位归一化：将提取出的历史最高价除以当前的最新收盘价；
破顶距离刻画：数值反映了当前价格距离近期前高的空间。数值越接近1，说明越有突破前高的可能；数值越大，说明距离前高越远，处于深幅回调中。",price_volume_factors
Price-Volume,HIGH0,True,-1.0,1.0,0.3617,3,3,Window_2023,"【核心含义】
相对收盘的最高价：衡量今日最高价相对于最新收盘价的位置，反映日内高点回落的幅度。

【运行原理】
数据截取：仅获取当前单个交易日的最高价(high)和收盘价(close)；
相对换算：将当日最高价直接除以当日收盘价；
溢价刻画：结果必然大于或等于1，数值越大，说明日内曾经冲高但最终回落的幅度越深，反映出上方抛压的沉重程度（即长上影线的变体表达）。",price_volume_factors
Price-Volume,Alpha40,False,-1.0,1.0,0.3593,3,3,Window_2023,"【原始公式】
SUM((CLOSE>DELAY(CLOSE,1)?VOLUME:0),26)/SUM((CLOSE<=DELAY(CLOSE,1)?VOLUME:0),26)*100

【核心含义】
国泰君安191因子体系中的 Alpha40 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,BETA20,True,-1.0,1.0,0.3573,3,3,Window_2023,"【核心含义】
价格趋势斜率 (Beta/Slope)：过去20天价格序列对时间的线性回归斜率。代表价格的上涨或下跌趋势强度。

【运行原理】
数据读取：按设定的时间窗口（如5天）提取标的资产的每日收盘价序列；
线性拟合：将时间序列作为自变量，收盘价作为因变量，进行普通最小二乘法(OLS)线性回归；
斜率提取：获取该回归方程的斜率(Slope)，代表资产价格随时间的平均绝对增长率；
价格归一化：将提取出的斜率值除以当前的最新收盘价，将绝对变化率转化为无量纲的相对变化率，以消除不同高低价股位带来的尺度差异。",price_volume_factors
Price-Volume,CORR5,True,-1.0,1.0,0.3557,3,3,Window_2023,"【核心含义】
量价相关性 (Correlation)：过去5天价格与成交量的相关系数。反映'量增价涨'或'量缩价跌'等量价配合关系的紧密程度。

【运行原理】
序列提取：在设定的N天滑动窗口内，同步截取每日的收盘价序列与成交量序列；
相关性计算：直接对这两个原始绝对值序列计算皮尔逊相关系数(Pearson Correlation)；
状态输出：生成-1到1之间的系数，无需去均值或对数化，用于最直观地评估当前区间内价格高低与成交量大小之间的线性同步程度。",price_volume_factors
Price-Volume,STD60,False,-1.0,1.0,0.3527,2,3,Window_2024,"【核心含义】
价格波动率 (Standard Deviation)：过去60天价格的相对标准差。衡量股票在该窗口期内的波动风险和活跃度。

【运行原理】
波动离散：在N天的滑动窗口内，计算每日收盘价序列的总体标准差(Std)，衡量价格分布的离散程度；
波动率归一化：将计算出的绝对标准差除以当前的最新收盘价；
风险刻画：将绝对的金额波动转化为相对的百分比波动率，数值越大说明近期走势越剧烈（风险与弹性高），数值越小说明走势越趋于横盘死水。",price_volume_factors
Price-Volume,Alpha100,True,-1.0,1.0,0.349,2,3,Window_2023,"【原始公式】
STD(VOLUME,20)

【核心含义】
国泰君安191因子体系中的 Alpha100 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,CORD10,True,-1.0,1.0,0.3482,3,3,Window_2023,"【核心含义】
量价收益率相关性 (Corr of Return/Volume)：过去10天价格收益率与成交量的相关系数。衡量上涨是否伴随放量。

【运行原理】
变化率提取：在设定时间窗口内，分别计算出每日的“价格收益率”(当日收盘/昨日收盘) 和“对数成交量变化率”(Log(当日成交量/昨日成交量+1))；
序列配对：将这两个时间序列组成配对样本；
相关性计算：计算这两个序列在N天内的皮尔逊(Pearson)相关系数；
量价剖析：结果介于-1到1之间，正值代表量价齐升/缩量下跌，负值代表放量下跌/缩量上涨，用于洞察资金推动价格的真实效率。",price_volume_factors
Price-Volume,SUMN60,False,1.0,1.0,0.3474,2,3,Window_2023,"【核心含义】
负收益绝对值占比 (Sum Negative)：过去60天中所有负收益之和占总绝对收益的比例。反映空头砸盘的绝对力量。

【运行原理】
空头剥离：在N天的滑动窗口内，逐日比对收盘价，仅提取出下跌交易日（今日收盘<昨日收盘）的下跌绝对点数；
空头动能累加：将这N天内的所有下跌点数进行求和；
基准归一化：将空头总动能除以这N天内所有价格变化（无论涨跌）的绝对值总和；
空方势能评估：结果在0到1之间，数值越大说明区间内空头杀跌的力度在总波动中占据绝对主导。",price_volume_factors
Price-Volume,IMAX60,False,-1.0,1.0,0.341,2,3,Window_2023,"【核心含义】
最高价距离天数 (Index of Max)：过去60天中最高价发生在那一天（距离当前的倒数天数）。反映高点的时效性。

【运行原理】
极值寻址：在设定的N天时间窗口内，扫描每日的最高价，定位到最大值出现的那一天；
索引提取：获取该最大值所在天数距离当前窗口起始点的索引位置(IdxMax)；
时间归一化：将该位置索引除以窗口总长度N；
动能衰减评估：结果越接近1，说明创出新高的时间越近（近期动能强）；越接近0，说明高点在窗口早期，当前处于长期回调中。",price_volume_factors
Price-Volume,CORR20,True,-1.0,1.0,0.3382,2,3,Window_2023,"【核心含义】
量价相关性 (Correlation)：过去20天价格与成交量的相关系数。反映'量增价涨'或'量缩价跌'等量价配合关系的紧密程度。

【运行原理】
序列提取：在设定的N天滑动窗口内，同步截取每日的收盘价序列与成交量序列；
相关性计算：直接对这两个原始绝对值序列计算皮尔逊相关系数(Pearson Correlation)；
状态输出：生成-1到1之间的系数，无需去均值或对数化，用于最直观地评估当前区间内价格高低与成交量大小之间的线性同步程度。",price_volume_factors
Price-Volume,QTLU60,False,1.0,1.0,0.3376,2,3,Window_2023,"【核心含义】
区间上分位数 (Quantile Up)：过去60天价格的80%分位数相对当前价格的比值。类似布林带上轨概念。

【运行原理】
分位数排序：在设定的N天时间窗口内，将所有交易日的收盘价从小到大进行排列；
高位分位提取：提取位于 80% 分位点(0.8)的收盘价，作为该区间的“稳健压力位”（剔除了极端的单日最高价干扰）；
归一化处理：将该80%分位价格除以当前的最新收盘价；
上行阻力评估：衡量当前价格距离近期筹码高位密集区的距离，评估向上突破需要克服的阻力大小。",price_volume_factors
Price-Volume,Alpha53,True,1.0,1.0,0.3321,2,3,Window_2024,"【原始公式】
COUNT(CLOSE>DELAY(CLOSE,1),12)/12*100

【核心含义】
国泰君安191因子体系中的 Alpha53 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,IMXD20,False,-1.0,1.0,0.3149,3,3,Window_2023,"【核心含义】
高低点极值距离 (Index Distance)：过去20天内最高价和最低价发生天数的差值。反映趋势的运行节奏和周期。

【运行原理】
高点寻址：在N天窗口内找到最高价所在的时间索引(IdxMax)；
低点寻址：在同一窗口内找到最低价所在的时间索引(IdxMin)；
时差计算：将高点索引减去低点索引，得出极值点之间的时间跨度；
跨度归一化：将时间跨度除以窗口长度N；
趋势形态判定：正值表示“先见底后见顶”（上升趋势），负值表示“先见顶后见底”（下降趋势），绝对值大小代表趋势持续的时间跨度。",price_volume_factors
Price-Volume,MAX10,True,-1.0,1.0,0.2938,2,3,Window_2024,"【核心含义】
区间最高价相对值 (Max)：过去10天的最高价相对当前价格的比值。反映当前价格距离前期高点的距离（阻力位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最高价；
峰值提取：找出这N天中的全局最高价(Max)；
压力位归一化：将提取出的历史最高价除以当前的最新收盘价；
破顶距离刻画：数值反映了当前价格距离近期前高的空间。数值越接近1，说明越有突破前高的可能；数值越大，说明距离前高越远，处于深幅回调中。",price_volume_factors
Price-Volume,MIN30,False,1.0,1.0,0.2868,2,3,Window_2023,"【核心含义】
区间最低价相对值 (Min)：过去30天的最低价相对当前价格的比值。反映当前价格距离前期低点的距离（支撑位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最低价；
谷值提取：找出这N天中的全局最低价(Min)，即近期的支撑位；
支撑位归一化：将提取出的历史最低价除以当前的最新收盘价；
破底距离刻画：数值反映了当前价格距离近期前低的空间。数值越接近1，说明面临破位风险；数值越小（离1越远），说明已经大幅反弹脱离底部。",price_volume_factors
Price-Volume,IMAX20,False,-1.0,1.0,0.286,2,3,Window_2023,"【核心含义】
最高价距离天数 (Index of Max)：过去20天中最高价发生在那一天（距离当前的倒数天数）。反映高点的时效性。

【运行原理】
极值寻址：在设定的N天时间窗口内，扫描每日的最高价，定位到最大值出现的那一天；
索引提取：获取该最大值所在天数距离当前窗口起始点的索引位置(IdxMax)；
时间归一化：将该位置索引除以窗口总长度N；
动能衰减评估：结果越接近1，说明创出新高的时间越近（近期动能强）；越接近0，说明高点在窗口早期，当前处于长期回调中。",price_volume_factors
